scan_id,batch_name,UID,scan_date,exam_date,version_number,centre_number,Language group,Prefix centre,candidate_number,question_number,Published,confidence,Captured,Question type,1_Published vs Captured,PoS,ANSWER Key
300003655801254,TELEVID4831_SCANNER12,TH4550042998649575916300003655801254,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,42,16,B,0.5684,"A, B",,NoMatch,D822/03,B
300003655801256,TELEVID4831_SCANNER12,TH4550044998649575921300003655801256,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,44,21,F,0.618,"B, F",,NoMatch,D822/03,F
300003655801260,TELEVID4831_SCANNER12,TH4550048998649575919300003655801260,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,48,19,C,0.9695,"B, C",,NoMatch,D822/03,A
300003655801260,TELEVID4831_SCANNER12,TH4550048998649575920300003655801260,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,48,20,A,0.8013,"A, C",,NoMatch,D822/03,C
300003656000185,TELEVID4832_SCANNER12,TH4550117998649575914300003656000185,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,117,14,C,0.9363,"A, C",,NoMatch,D822/03,A
300003656000217,TELEVID4832_SCANNER12,TH4550019998649575922300003656000217,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,19,22,H,0.9675,"E, H",,NoMatch,D822/03,H
300003656001344,TELEVID4832_SCANNER12,TH4550080998649575921300003656001344,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,80,21,F,0.9922,"E, F",,NoMatch,D822/03,F
300003656001352,TELEVID4832_SCANNER12,TH4550088998649575920300003656001352,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,88,20,C,0.9343,"A, C",,NoMatch,D822/03,C
300003656001366,TELEVID4832_SCANNER12,TH4550102998649575925300003656001366,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,102,25,D,0.9906,"C, D",,NoMatch,D822/03,D
300003656500467,televid4833_SCANNER12,TH455006799864957591300003656500467,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,67,1,B,0.7514,"A, B",,NoMatch,D822/03,B
300003717300647,TELEVID5096_SCANNER13,SG3003490778530355912300003717300647,02/04/2025,27/03/2025,7785303559,SG300,Chinese,SG,3490,12,C,0.8623,"A, C",,NoMatch,D822/03,C
300004036500351,TELEVID5476_SCANNER13,IT0060015696197463923300004036500351,21/05/2025,13/05/2025,6961974639,IT006,Romance,IT,15,23,E,0.9645,"C, E",,NoMatch,D822/03,E
300004064401067,TELEVID5508_SCANNER12,ID4800003990291766625300004064401067,23/05/2025,10/05/2025,9902917666,ID480,Malayo,ID,3,25,D,0.9393,"B, D",,NoMatch,D822/03,D
300004135300698,TELEVID5582_SCANNER13,LK0010322410329427415300004135300698,27/05/2025,17/05/2025,4103294274,LK001,Indo-Iranian,LK,322,15,B,0.7857,"B, C",,NoMatch,D822/03,B
300004135300715,TELEVID5582_SCANNER13,LK0010339410329427421300004135300715,27/05/2025,17/05/2025,4103294274,LK001,Indo-Iranian,LK,339,21,A,0.737,"A, B",,NoMatch,D822/03,A
300004135300802,TELEVID5582_SCANNER13,LK0010426410329427421300004135300802,27/05/2025,17/05/2025,4103294274,LK001,Indo-Iranian,LK,426,21,A,0.6283,"A, B",,NoMatch,D822/03,A
300004135300818,TELEVID5582_SCANNER13,LK0010442410329427411300004135300818,27/05/2025,17/05/2025,4103294274,LK001,Indo-Iranian,LK,442,11,B,0.9507,"B, C",,NoMatch,D822/03,B
