scan_id,batch_name,UID,scan_date,exam_date,version_number,centre_number,Language group,Prefix centre,candidate_number,question_number,Published,confidence,Captured,Question type,1_Published vs Captured,PoS,ANSWER Key
300003717300637,TELEVID5096_SCANNER13,SG3003480778530355920300003717300637,02/04/2025,27/03/2025,7785303559,SG300,Chinese,SG,3480,20,B,0.7165,C,,NoMatch,D822/03,B
300004135300691,TELEVID5582_SCANNER13,LK0010314410329427420300004135300691,27/05/2025,17/05/2025,4103294274,LK001,Indo-Iranian,LK,314,20,B,0.7991,C,,NoMatch,D822/03,B
300004189100576,TELEVID5691_SCANNER12,MA0180010729596956116300004189100576,30/05/2025,17/05/2025,7295969561,MA018,Afro-Asiatic,MA,10,16,B,0.505,C,,NoMatch,D822/03,B
300004192100884,TELEVID5688_SCANNER12,CN724106641032942743300004192100884,31/05/2025,24/05/2025,4103294274,CN724,Chinese,CN,1066,3,B,0.5681,C,,NoMatch,D822/03,B
300004266700392,TELEVID5801_SCANNER13,GR1184024410329427420300004266700392,04/06/2025,31/05/2025,4103294274,GR118,Greek,GR,4024,20,B,0.7325,C,,NoMatch,D822/03,B
300004280600447,TELEVID5812_SCANNER12,GR1184202410329427420300004280600447,05/06/2025,31/05/2025,4103294274,GR118,Greek,GR,4202,20,B,0.5269,C,,NoMatch,D822/03,B
300004393100569,TELEVID6001_SCANNER13,IT060112269619746393300004393100569,12/06/2025,24/05/2025,6961974639,IT060,Romance,IT,1122,3,A,0.7845,B,,NoMatch,D822/03,C
300004492600176,TELEVID8039_SCANNER13,TR0030411228890267111300004492600176,18/06/2025,14/06/2025,2288902671,TR003,Turkic,TR,411,11,B,0.6097,C,,NoMatch,D822/03,C
300004556500181,TELEVID8217_SCANNER13,IT0240010696197463911300004556500181,24/06/2025,20/06/2025,6961974639,IT024,Romance,IT,10,11,B,0.7508,C,,NoMatch,D822/03,B
400004541800066,TELEVID4879_SCANNER14,VN0700025696740284920400004541800066,28/02/2025,22/02/2025,6967402849,VN070,Austro-Asiatic,VN,25,20,B,0.5891,C,,NoMatch,D822/03,B
400004598600167,TELEVID5043_Scanner20,DE0040016998649575911400004598600167,01/04/2025,22/03/2025,9986495759,DE004,Germanic,DE,16,11,B,0.555,C,,NoMatch,D822/03,B
400004605500265,TELEVID5107_Scanner20,BU0010054421336104020400004605500265,02/04/2025,25/03/2025,4213361040,BU001,Burmese-Tibetan,BU,54,20,B,0.502,C,,NoMatch,D822/03,B
400004605500296,TELEVID5107_Scanner20,BU0010085421336104014400004605500296,02/04/2025,25/03/2025,4213361040,BU001,Burmese-Tibetan,BU,85,14,A,0.848,B,,NoMatch,D822/03,B
400004608700635,TELEVID5105_Scanner20,BU001400842133610403400004608700635,03/04/2025,25/03/2025,4213361040,BU001,Burmese-Tibetan,BU,4008,3,B,0.6394,C,,NoMatch,D822/03,A
400004853900025,TELEVID5356_SCANNER14,IT2781025696197463920400004853900025,14/05/2025,10/05/2025,6961974639,IT278,Romance,IT,1025,20,A,0.6366,B,,NoMatch,D822/03,C
400004869100181,TELEVID5383_SCANNER14,CN519000241032942743400004869100181,15/05/2025,10/05/2025,4103294274,CN519,Chinese,CN,2,3,B,0.83,C,,NoMatch,D822/03,B
400004869100190,TELEVID5383_SCANNER14,CN5190011410329427420400004869100190,15/05/2025,10/05/2025,4103294274,CN519,Chinese,CN,11,20,B,0.6308,C,,NoMatch,D822/03,B
400004923900068,TELEVID5431_SCANNER14,VN0700068696740284918400004923900068,19/05/2025,11/05/2025,6967402849,VN070,Austro-Asiatic,VN,68,18,A,0.6803,B,,NoMatch,D822/03,A
400004923900329,TELEVID5431_SCANNER14,VN0700329696740284916400004923900329,19/05/2025,11/05/2025,6967402849,VN070,Austro-Asiatic,VN,329,16,B,0.6065,C,,NoMatch,D822/03,C
400005044400691,TELEVID5583_SCANNER14,LK001003841032942743400005044400691,28/05/2025,17/05/2025,4103294274,LK001,Indo-Iranian,LK,38,3,B,0.7966,C,,NoMatch,D822/03,B
60000002249301151,TELEVID4884_SCANNER19,CN418110041032942741560000002249301151,04/03/2025,22/02/2025,4103294274,CN418,Chinese,CN,1100,15,B,0.5995,C,,NoMatch,D822/03,B
60000002249301184,TELEVID4884_SCANNER19,CN418156541032942742060000002249301184,04/03/2025,22/02/2025,4103294274,CN418,Chinese,CN,1565,20,B,0.605,C,,NoMatch,D822/03,B
60000002249400551,TELEVID4885_SCANNER19,CN418125741032942742060000002249400551,05/03/2025,22/02/2025,4103294274,CN418,Chinese,CN,1257,20,B,0.8329,C,,NoMatch,D822/03,B
60000002249400945,TELEVID4885_SCANNER19,CN41816144103294274360000002249400945,05/03/2025,22/02/2025,4103294274,CN418,Chinese,CN,1614,3,B,0.6027,C,,NoMatch,D822/03,B
60000002249400982,TELEVID4885_SCANNER19,CN418150441032942742060000002249400982,05/03/2025,22/02/2025,4103294274,CN418,Chinese,CN,1504,20,B,0.4988,C,,NoMatch,D822/03,B
