scan_id,batch_name,UID,scan_date,exam_date,version_number,centre_number,Language group,Prefix centre,candidate_number,question_number,Published,confidence,Captured,Question type,1_Published vs Captured,PoS,ANSWER Key
300003655801240,TELEVID4831_SCANNER12,TH455002899864957599300003655801240,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,28,9,7.40 3.90,0.7413,740/3.90,,NoMatch,D822/03,"[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)( )[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence]( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]](.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))([&/+/,/-/./:/;/and/ ])[4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence](.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )([and/&/+/'n'/'n/n'/n])( )[.4/.four/2~/5/4~/10/4~/10 of/4~/10 of 1/4~/10 of a/4~/10 of one/four tenths/four tenths of/four tenths of 1/four tenths of a/four tenths of one/point 4/point four/point4](.)"
300003655801240,TELEVID4831_SCANNER12,TH4550028998649575910300003655801240,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,28,10,THURSDAY,0.5184,THARSDAY,,NoMatch,D822/03,[thursday/th/thu/thur/thurs]
300003655801246,TELEVID4831_SCANNER12,TH455003499864957597300003655801246,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,34,7,TED WORTH,0.5528,TEP WORTH,,NoMatch,D822/03,tedworth
300003655801253,TELEVID4831_SCANNER12,TH455004199864957599300003655801253,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,41,9,10 PONSH 95,0.4176,10 PORCH 95,,NoMatch,D822/03,"[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)( )[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence]( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]](.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))([&/+/,/-/./:/;/and/ ])[4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence](.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )([and/&/+/'n'/'n/n'/n])( )[.4/.four/2~/5/4~/10/4~/10 of/4~/10 of 1/4~/10 of a/4~/10 of one/four tenths/four tenths of/four tenths of 1/four tenths of a/four tenths of one/point 4/point four/point4](.)"
300003655801258,TELEVID4831_SCANNER12,TH455004699864957599300003655801258,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,46,9,7 POND 3 POND 90,0.1587,7 POND 3 YARD AS,,NoMatch,D822/03,"[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)( )[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence]( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]](.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))([&/+/,/-/./:/;/and/ ])[4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence](.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )([and/&/+/'n'/'n/n'/n])( )[.4/.four/2~/5/4~/10/4~/10 of/4~/10 of 1/4~/10 of a/4~/10 of one/four tenths/four tenths of/four tenths of 1/four tenths of a/four tenths of one/point 4/point four/point4](.)"
300003655801264,TELEVID4831_SCANNER12,TH455005299864957598300003655801264,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,52,8,117 Y,0.3387,117Y,,NoMatch,D822/03,painting(s)
300003656000180,TELEVID4832_SCANNER12,TH455011299864957598300003656000180,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,112,8,DEA,0.6841,DEOS,,NoMatch,D822/03,painting(s)
300003656000180,TELEVID4832_SCANNER12,TH455011299864957599300003656000180,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,112,9,SEA,0.6191,SPON,,NoMatch,D822/03,"[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)( )[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence]( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]](.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))([&/+/,/-/./:/;/and/ ])[4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence](.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )([and/&/+/'n'/'n/n'/n])( )[.4/.four/2~/5/4~/10/4~/10 of/4~/10 of 1/4~/10 of a/4~/10 of one/four tenths/four tenths of/four tenths of 1/four tenths of a/four tenths of one/point 4/point four/point4](.)"
300003656000183,TELEVID4832_SCANNER12,TH455011599864957597300003656000183,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,115,7,TEBWORTH CASTLE,0.83,TEBWORTH EASTLE,,NoMatch,D822/03,tedworth
300003656000183,TELEVID4832_SCANNER12,TH455011599864957599300003656000183,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,115,9,7.40,0.742,67.40,,NoMatch,D822/03,"[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)( )[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence]( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]](.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))([&/+/,/-/./:/;/and/ ])[4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence](.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )([and/&/+/'n'/'n/n'/n])( )[.4/.four/2~/5/4~/10/4~/10 of/4~/10 of 1/4~/10 of a/4~/10 of one/four tenths/four tenths of/four tenths of 1/four tenths of a/four tenths of one/point 4/point four/point4](.)"
