scan_id,batch_name,UID,scan_date,exam_date,version_number,centre_number,Language group,Prefix centre,candidate_number,question_number,Published,confidence,Captured,Question type,1_Published vs Captured,PoS,ANSWER Key
300003655801243,TELEVID4831_SCANNER12,TH4550031998649575918300003655801243,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,31,18,B,0.9255,B,,Match,D822/03,A
300003655801248,TELEVID4831_SCANNER12,TH455003699864957599300003655801248,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,36,9,740,0.9254,740,,Match,D822/03,"[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)( )[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence]( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]](.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))([&/+/,/-/./:/;/and/ ])[4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence](.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )([and/&/+/'n'/'n/n'/n])( )[.4/.four/2~/5/4~/10/4~/10 of/4~/10 of 1/4~/10 of a/4~/10 of one/four tenths/four tenths of/four tenths of 1/four tenths of a/four tenths of one/point 4/point four/point4](.)"
300003655801249,TELEVID4831_SCANNER12,TH455003799864957599300003655801249,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,37,9,7.40,0.9323,7.40,,Match,D822/03,"[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)( )[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence]( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]](.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))([&/+/,/-/./:/;/and/ ])[4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence](.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )([and/&/+/'n'/'n/n'/n])( )[.4/.four/2~/5/4~/10/4~/10 of/4~/10 of 1/4~/10 of a/4~/10 of one/four tenths/four tenths of/four tenths of 1/four tenths of a/four tenths of one/point 4/point four/point4](.)"
300003655801249,TELEVID4831_SCANNER12,TH4550037998649575920300003655801249,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,37,20,B,0.9465,B,,Match,D822/03,C
300003655801250,TELEVID4831_SCANNER12,TH455003899864957596300003655801250,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,38,6,8.25 A.M.,0.9073,8.25 A.M.,,Match,D822/03,[([0/O/o])8/[8/[08/eight]]]([h/hour/hours/hr/hrs/hs])([&/-/./:/;])[25/[twenty([-/ ])[5/[05/five]]/25]](([-/ ])[in morning/in the morning/a(.)m(.)])(.)/[([0/O/o])8/[8/[08/eight]]][h/hour/hours/hr/hrs/hs]([&/-/./:/;])[25/[twenty([-/ ])[5/[05/five]]/25]]([m/min/mins/minute/minutes/ms])(([-/ ])[in morning/in the morning/a(.)m(.)])(.)/[([0/O/o])8/[8/[08/eight]]]([h/hour/hours/hr/hrs/hs])([&/-/./:/;])[25/[twenty([-/ ])[5/[05/five]]/25]]([-/ ])[h/hour/hours/hr/hrs/hs](.)(([-/ ])[in morning/in the morning/a(.)m(.)])(.)/[25/[twenty([-/ ])[5/[05/five]]/25]]([m/min/mins/minute/minutes/ms](.))([-/ ])[past/after]([-/ ])[([0/O/o])8/[8/[08/eight]]]([h/hour/hours/hr/hrs/hs])(.)(([-/ ])[in morning/in the morning/a(.)m(.)])(.)
300003655801257,TELEVID4831_SCANNER12,TH455004599864957596300003655801257,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,45,6,8:50 A.M.,0.9002,8:50 A.M.,,Match,D822/03,[([0/O/o])8/[8/[08/eight]]]([h/hour/hours/hr/hrs/hs])([&/-/./:/;])[25/[twenty([-/ ])[5/[05/five]]/25]](([-/ ])[in morning/in the morning/a(.)m(.)])(.)/[([0/O/o])8/[8/[08/eight]]][h/hour/hours/hr/hrs/hs]([&/-/./:/;])[25/[twenty([-/ ])[5/[05/five]]/25]]([m/min/mins/minute/minutes/ms])(([-/ ])[in morning/in the morning/a(.)m(.)])(.)/[([0/O/o])8/[8/[08/eight]]]([h/hour/hours/hr/hrs/hs])([&/-/./:/;])[25/[twenty([-/ ])[5/[05/five]]/25]]([-/ ])[h/hour/hours/hr/hrs/hs](.)(([-/ ])[in morning/in the morning/a(.)m(.)])(.)/[25/[twenty([-/ ])[5/[05/five]]/25]]([m/min/mins/minute/minutes/ms](.))([-/ ])[past/after]([-/ ])[([0/O/o])8/[8/[08/eight]]]([h/hour/hours/hr/hrs/hs])(.)(([-/ ])[in morning/in the morning/a(.)m(.)])(.)
300003655801258,TELEVID4831_SCANNER12,TH455004699864957597300003655801258,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,46,7,TEDWORTH 700 YEAR OLD,0.9473,TEDWORTH 700 YEAR OLD,,Match,D822/03,tedworth
300003655801258,TELEVID4831_SCANNER12,TH455004699864957598300003655801258,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,46,8,ART PRANTING,0.9234,ART PRANTING,,Match,D822/03,painting(s)
300003655801259,TELEVID4831_SCANNER12,TH455004799864957599300003655801259,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,47,9,7.40,0.9079,7.40,,Match,D822/03,"[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)( )[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence]( )(.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]](.)/[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([p/pence])(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s)[&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )([p/pence])(.)/([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))[7/[7/[07/seven]]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))([&/+/,/-/./:/;/and/ ])[4[(0)/O/o]/[4[0/O/o]/forty]]([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))(.)/[7/[7/[07/seven]]][&/+/,/-/./:/;/and/ ][4[0/O/o]/[4[0/O/o]/forty]]( )(.)/[7/[7/[07/seven]]]( )[4[0/O/o]/[4[0/O/o]/forty]]( )[p/pence](.)/[7/[7/[07/seven]]]( )([G(.)B(.)P(.)/G(.)B(.)P(.)£(.)/pound/pound./£/£(.)G(.)B(.)P(.)](s))( )([and/&/+/'n'/'n/n'/n])( )[.4/.four/2~/5/4~/10/4~/10 of/4~/10 of 1/4~/10 of a/4~/10 of one/four tenths/four tenths of/four tenths of 1/four tenths of a/four tenths of one/point 4/point four/point4](.)"
300003655801259,TELEVID4831_SCANNER12,TH4550047998649575910300003655801259,30/01/2025,25/01/2025,9986495759,TH455,Kadai ,TH,47,10,TAUS DAY,0.9284,TAUS DAY,,Match,D822/03,[thursday/th/thu/thur/thurs]
